Replicate.Name,Precursor.Ion.Name,Runtype,Area,Area_noBlank
191001_Std_AA_AA-IS,Histidine,Sample,19023706,18948049
200908_Smp_GBTFate1T0_A,Histidine,Sample,0,-75657
200908_Smp_GBTFate1T0_B,Histidine,Sample,108578,32921
200908_Smp_GBTFate1T0_C,Histidine,Sample,57742,-17915
200908_Smp_GBTFate2T0_A,Histidine,Sample,0,-75657
200908_Smp_GBTFate2T0_B,Histidine,Sample,47093,-28564
200908_Smp_GBTFate2T0_C,Histidine,Sample,152772,77115
200908_Smp_GBTFate1Tlong_A,Histidine,Sample,307203,231546
200908_Smp_GBTFate1Tlong_B,Histidine,Sample,363381,287724
200908_Smp_GBTFate1Tlong_C,Histidine,Sample,0,-75657
200908_Smp_GBTFate2Tlong_A,Histidine,Sample,49185,-26472
200908_Smp_GBTFate2Tlong_B,Histidine,Sample,0,-75657
200908_Smp_GBTFate2Tlong_C,Histidine,Sample,50180,-25477
200908_Std_0uM_GBTFate1T0_A-2,Histidine,StandardCurve,63482,-12175
200908_Std_0.5uM_GBTFate1T0_A-2,Histidine,StandardCurve,6331851,6256194
200908_Std_1.0uM_GBTFate1T0_A-2,Histidine,StandardCurve,12689812,12614155
200908_Std_2.5uM_GBTFate1T0_A-2,Histidine,StandardCurve,22269808,22194151
191001_Std_AA_AA-IS,Arginine,Sample,22979468,22428604
200908_Smp_GBTFate1T0_A,Arginine,Sample,552630,1766
200908_Smp_GBTFate1T0_B,Arginine,Sample,7493684,6942820
200908_Smp_GBTFate1T0_C,Arginine,Sample,2540484,1989620
200908_Smp_GBTFate2T0_A,Arginine,Sample,2676990,2126126
200908_Smp_GBTFate2T0_B,Arginine,Sample,3071754,2520890
200908_Smp_GBTFate2T0_C,Arginine,Sample,5047528,4496664
200908_Smp_GBTFate1Tlong_A,Arginine,Sample,5007517,4456653
200908_Smp_GBTFate1Tlong_B,Arginine,Sample,9978582,9427718
200908_Smp_GBTFate1Tlong_C,Arginine,Sample,2408527,1857663
200908_Smp_GBTFate2Tlong_A,Arginine,Sample,3050089,2499225
200908_Smp_GBTFate2Tlong_B,Arginine,Sample,564808,13944
200908_Smp_GBTFate2Tlong_C,Arginine,Sample,4459500,3908636
200908_Std_0uM_GBTFate1T0_A-2,Arginine,StandardCurve,1575954,1025090
200908_Std_0.5uM_GBTFate1T0_A-2,Arginine,StandardCurve,28841790,28290926
200908_Std_1.0uM_GBTFate1T0_A-2,Arginine,StandardCurve,46238140,45687276
200908_Std_2.5uM_GBTFate1T0_A-2,Arginine,StandardCurve,93845064,93294200
191001_Std_AA_AA-IS,Serine,Sample,196705424,187141148
200908_Smp_GBTFate1T0_A,Serine,Sample,7740037,-1824239
200908_Smp_GBTFate1T0_B,Serine,Sample,46522748,36958472
200908_Smp_GBTFate1T0_C,Serine,Sample,22507604,12943328
200908_Smp_GBTFate2T0_A,Serine,Sample,19625970,10061694
200908_Smp_GBTFate2T0_B,Serine,Sample,33049022,23484746
200908_Smp_GBTFate2T0_C,Serine,Sample,36111428,26547152
200908_Smp_GBTFate1Tlong_A,Serine,Sample,38427748,28863472
200908_Smp_GBTFate1Tlong_B,Serine,Sample,57657736,48093460
200908_Smp_GBTFate1Tlong_C,Serine,Sample,22345742,12781466
200908_Smp_GBTFate2Tlong_A,Serine,Sample,32306994,22742718
200908_Smp_GBTFate2Tlong_B,Serine,Sample,9615128,50852
200908_Smp_GBTFate2Tlong_C,Serine,Sample,42597680,33033404
200908_Std_0uM_GBTFate1T0_A-2,Serine,StandardCurve,16267925,6703649
200908_Std_0.5uM_GBTFate1T0_A-2,Serine,StandardCurve,164914560,155350284
200908_Std_1.0uM_GBTFate1T0_A-2,Serine,StandardCurve,227674912,218110636
200908_Std_2.5uM_GBTFate1T0_A-2,Serine,StandardCurve,444300992,434736716
191001_Std_AA_AA-IS,Glycine,Sample,259166448,211787436
200908_Smp_GBTFate1T0_A,Glycine,Sample,36121628,-11257384
200908_Smp_GBTFate1T0_B,Glycine,Sample,217698064,170319052
200908_Smp_GBTFate1T0_C,Glycine,Sample,86664496,39285484
200908_Smp_GBTFate2T0_A,Glycine,Sample,65709936,18330924
200908_Smp_GBTFate2T0_B,Glycine,Sample,96711792,49332780
200908_Smp_GBTFate2T0_C,Glycine,Sample,166773664,119394652
200908_Smp_GBTFate1Tlong_A,Glycine,Sample,158480832,111101820
200908_Smp_GBTFate1Tlong_B,Glycine,Sample,230043408,182664396
200908_Smp_GBTFate1Tlong_C,Glycine,Sample,89883496,42504484
200908_Smp_GBTFate2Tlong_A,Glycine,Sample,121412952,74033940
200908_Smp_GBTFate2Tlong_B,Glycine,Sample,35007792,-12371220
200908_Smp_GBTFate2Tlong_C,Glycine,Sample,139916352,92537340
200908_Std_0uM_GBTFate1T0_A-2,Glycine,StandardCurve,61626572,14247560
200908_Std_0.5uM_GBTFate1T0_A-2,Glycine,StandardCurve,275123744,227744732
200908_Std_1.0uM_GBTFate1T0_A-2,Glycine,StandardCurve,489214464,441835452
200908_Std_2.5uM_GBTFate1T0_A-2,Glycine,StandardCurve,744030912,696651900
191001_Std_AA_AA-IS,Aspartic Acid,Sample,174094112,172090203
200908_Smp_GBTFate1T0_A,Aspartic Acid,Sample,8668917,6665008
200908_Smp_GBTFate1T0_B,Aspartic Acid,Sample,25550608,23546699
200908_Smp_GBTFate1T0_C,Aspartic Acid,Sample,5582283,3578374
200908_Smp_GBTFate2T0_A,Aspartic Acid,Sample,6105618,4101709
200908_Smp_GBTFate2T0_B,Aspartic Acid,Sample,9884512,7880603
200908_Smp_GBTFate2T0_C,Aspartic Acid,Sample,10862118,8858209
200908_Smp_GBTFate1Tlong_A,Aspartic Acid,Sample,23511380,21507471
200908_Smp_GBTFate1Tlong_B,Aspartic Acid,Sample,15928263,13924354
200908_Smp_GBTFate1Tlong_C,Aspartic Acid,Sample,10129772,8125863
200908_Smp_GBTFate2Tlong_A,Aspartic Acid,Sample,10450579,8446670
200908_Smp_GBTFate2Tlong_B,Aspartic Acid,Sample,11096133,9092224
200908_Smp_GBTFate2Tlong_C,Aspartic Acid,Sample,12614713,10610804
200908_Std_0uM_GBTFate1T0_A-2,Aspartic Acid,StandardCurve,3742933,1739024
200908_Std_0.5uM_GBTFate1T0_A-2,Aspartic Acid,StandardCurve,38971792,36967883
200908_Std_1.0uM_GBTFate1T0_A-2,Aspartic Acid,StandardCurve,79494576,77490667
200908_Std_2.5uM_GBTFate1T0_A-2,Aspartic Acid,StandardCurve,132649232,130645323
191001_Std_AA_AA-IS,Glutamic Acid,Sample,160101088,157269311
200908_Smp_GBTFate1T0_A,Glutamic Acid,Sample,13116318,10284541
200908_Smp_GBTFate1T0_B,Glutamic Acid,Sample,35069120,32237343
200908_Smp_GBTFate1T0_C,Glutamic Acid,Sample,7347340,4515563
200908_Smp_GBTFate2T0_A,Glutamic Acid,Sample,8175466,5343689
200908_Smp_GBTFate2T0_B,Glutamic Acid,Sample,15127091,12295314
200908_Smp_GBTFate2T0_C,Glutamic Acid,Sample,14666320,11834543
200908_Smp_GBTFate1Tlong_A,Glutamic Acid,Sample,32413316,29581539
200908_Smp_GBTFate1Tlong_B,Glutamic Acid,Sample,22735002,19903225
200908_Smp_GBTFate1Tlong_C,Glutamic Acid,Sample,13681504,10849727
200908_Smp_GBTFate2Tlong_A,Glutamic Acid,Sample,15802315,12970538
200908_Smp_GBTFate2Tlong_B,Glutamic Acid,Sample,13831544,10999767
200908_Smp_GBTFate2Tlong_C,Glutamic Acid,Sample,22505432,19673655
200908_Std_0uM_GBTFate1T0_A-2,Glutamic Acid,StandardCurve,4786696,1954919
200908_Std_0.5uM_GBTFate1T0_A-2,Glutamic Acid,StandardCurve,47149984,44318207
200908_Std_1.0uM_GBTFate1T0_A-2,Glutamic Acid,StandardCurve,75902912,73071135
200908_Std_2.5uM_GBTFate1T0_A-2,Glutamic Acid,StandardCurve,140023600,137191823
191001_Std_AA_AA-IS,Threonine,Sample,275476800,265996998
200908_Smp_GBTFate1T0_A,Threonine,Sample,16823302,7343500
200908_Smp_GBTFate1T0_B,Threonine,Sample,91483128,82003326
200908_Smp_GBTFate1T0_C,Threonine,Sample,24663934,15184132
200908_Smp_GBTFate2T0_A,Threonine,Sample,40566076,31086274
200908_Smp_GBTFate2T0_B,Threonine,Sample,37077896,27598094
200908_Smp_GBTFate2T0_C,Threonine,Sample,64874756,55394954
200908_Smp_GBTFate1Tlong_A,Threonine,Sample,77012184,67532382
200908_Smp_GBTFate1Tlong_B,Threonine,Sample,83421008,73941206
200908_Smp_GBTFate1Tlong_C,Threonine,Sample,40741840,31262038
200908_Smp_GBTFate2Tlong_A,Threonine,Sample,47830924,38351122
200908_Smp_GBTFate2Tlong_B,Threonine,Sample,14931539,5451737
200908_Smp_GBTFate2Tlong_C,Threonine,Sample,41470604,31990802
200908_Std_0uM_GBTFate1T0_A-2,Threonine,StandardCurve,17343978,7864176
200908_Std_0.5uM_GBTFate1T0_A-2,Threonine,StandardCurve,229080096,219600294
200908_Std_1.0uM_GBTFate1T0_A-2,Threonine,StandardCurve,397064128,387584326
200908_Std_2.5uM_GBTFate1T0_A-2,Threonine,StandardCurve,733909952,724430150
191001_Std_AA_AA-IS,Alanine,Sample,337701888,317687602
200908_Smp_GBTFate1T0_A,Alanine,Sample,43338708,23324422
200908_Smp_GBTFate1T0_B,Alanine,Sample,218144096,198129810
200908_Smp_GBTFate1T0_C,Alanine,Sample,48326408,28312122
200908_Smp_GBTFate2T0_A,Alanine,Sample,81628576,61614290
200908_Smp_GBTFate2T0_B,Alanine,Sample,67925800,47911514
200908_Smp_GBTFate2T0_C,Alanine,Sample,125394104,105379818
200908_Smp_GBTFate1Tlong_A,Alanine,Sample,167677504,147663218
200908_Smp_GBTFate1Tlong_B,Alanine,Sample,177386352,157372066
200908_Smp_GBTFate1Tlong_C,Alanine,Sample,77712032,57697746
200908_Smp_GBTFate2Tlong_A,Alanine,Sample,97067904,77053618
200908_Smp_GBTFate2Tlong_B,Alanine,Sample,48780076,28765790
200908_Smp_GBTFate2Tlong_C,Alanine,Sample,94143544,74129258
200908_Std_0uM_GBTFate1T0_A-2,Alanine,StandardCurve,37036100,17021814
200908_Std_0.5uM_GBTFate1T0_A-2,Alanine,StandardCurve,245314832,225300546
200908_Std_1.0uM_GBTFate1T0_A-2,Alanine,StandardCurve,432683072,412668786
200908_Std_2.5uM_GBTFate1T0_A-2,Alanine,StandardCurve,710521664,690507378
191001_Std_AA_AA-IS,Proline,Sample,302833184,294038889
200908_Smp_GBTFate1T0_A,Proline,Sample,17197858,8403563
200908_Smp_GBTFate1T0_B,Proline,Sample,86155768,77361473
200908_Smp_GBTFate1T0_C,Proline,Sample,21846050,13051755
200908_Smp_GBTFate2T0_A,Proline,Sample,34675916,25881621
200908_Smp_GBTFate2T0_B,Proline,Sample,27206860,18412565
200908_Smp_GBTFate2T0_C,Proline,Sample,51358504,42564209
200908_Smp_GBTFate1Tlong_A,Proline,Sample,69004280,60209985
200908_Smp_GBTFate1Tlong_B,Proline,Sample,81945408,73151113
200908_Smp_GBTFate1Tlong_C,Proline,Sample,34313928,25519633
200908_Smp_GBTFate2Tlong_A,Proline,Sample,42022212,33227917
200908_Smp_GBTFate2Tlong_B,Proline,Sample,20852790,12058495
200908_Smp_GBTFate2Tlong_C,Proline,Sample,43924108,35129813
200908_Std_0uM_GBTFate1T0_A-2,Proline,StandardCurve,16401970,7607675
200908_Std_0.5uM_GBTFate1T0_A-2,Proline,StandardCurve,206351584,197557289
200908_Std_1.0uM_GBTFate1T0_A-2,Proline,StandardCurve,398653216,389858921
200908_Std_2.5uM_GBTFate1T0_A-2,Proline,StandardCurve,708397312,699603017
191001_Std_AA_AA-IS,Lysine,Sample,628445568,616095060
200908_Smp_GBTFate1T0_A,Lysine,Sample,29351076,17000568
200908_Smp_GBTFate1T0_B,Lysine,Sample,135343568,122993060
200908_Smp_GBTFate1T0_C,Lysine,Sample,28940194,16589686
200908_Smp_GBTFate2T0_A,Lysine,Sample,60751764,48401256
200908_Smp_GBTFate2T0_B,Lysine,Sample,47845832,35495324
200908_Smp_GBTFate2T0_C,Lysine,Sample,84640520,72290012
200908_Smp_GBTFate1Tlong_A,Lysine,Sample,106752976,94402468
200908_Smp_GBTFate1Tlong_B,Lysine,Sample,110439536,98089028
200908_Smp_GBTFate1Tlong_C,Lysine,Sample,53914056,41563548
200908_Smp_GBTFate2Tlong_A,Lysine,Sample,70385640,58035132
200908_Smp_GBTFate2Tlong_B,Lysine,Sample,34150184,21799676
200908_Smp_GBTFate2Tlong_C,Lysine,Sample,69048376,56697868
200908_Std_0uM_GBTFate1T0_A-2,Lysine,StandardCurve,27397486,15046978
200908_Std_0.5uM_GBTFate1T0_A-2,Lysine,StandardCurve,322887968,310537460
200908_Std_1.0uM_GBTFate1T0_A-2,Lysine,StandardCurve,562533248,550182740
200908_Std_2.5uM_GBTFate1T0_A-2,Lysine,StandardCurve,1008778944,996428436
191001_Std_AA_AA-IS,Tyrosine,Sample,244423360,243569041
200908_Smp_GBTFate1T0_A,Tyrosine,Sample,2773778,1919459
200908_Smp_GBTFate1T0_B,Tyrosine,Sample,50809328,49955009
200908_Smp_GBTFate1T0_C,Tyrosine,Sample,8115501,7261182
200908_Smp_GBTFate2T0_A,Tyrosine,Sample,4679695,3825376
200908_Smp_GBTFate2T0_B,Tyrosine,Sample,2745814,1891495
200908_Smp_GBTFate2T0_C,Tyrosine,Sample,15123438,14269119
200908_Smp_GBTFate1Tlong_A,Tyrosine,Sample,31605908,30751589
200908_Smp_GBTFate1Tlong_B,Tyrosine,Sample,55989748,55135429
200908_Smp_GBTFate1Tlong_C,Tyrosine,Sample,10357622,9503303
200908_Smp_GBTFate2Tlong_A,Tyrosine,Sample,967219,112900
200908_Smp_GBTFate2Tlong_B,Tyrosine,Sample,118625,-735694
200908_Smp_GBTFate2Tlong_C,Tyrosine,Sample,1050926,196607
200908_Std_0uM_GBTFate1T0_A-2,Tyrosine,StandardCurve,5061245,4206926
200908_Std_0.5uM_GBTFate1T0_A-2,Tyrosine,StandardCurve,242759952,241905633
200908_Std_1.0uM_GBTFate1T0_A-2,Tyrosine,StandardCurve,453178656,452324337
200908_Std_2.5uM_GBTFate1T0_A-2,Tyrosine,StandardCurve,897212288,896357969
191001_Std_AA_AA-IS,Methionine,Sample,331958592,331958592
200908_Smp_GBTFate1T0_A,Methionine,Sample,0,0
200908_Smp_GBTFate1T0_B,Methionine,Sample,15238,15238
200908_Smp_GBTFate1T0_C,Methionine,Sample,12251,12251
200908_Smp_GBTFate2T0_A,Methionine,Sample,0,0
200908_Smp_GBTFate2T0_B,Methionine,Sample,0,0
200908_Smp_GBTFate2T0_C,Methionine,Sample,2754344,2754344
200908_Smp_GBTFate1Tlong_A,Methionine,Sample,12071,12071
200908_Smp_GBTFate1Tlong_B,Methionine,Sample,322334,322334
200908_Smp_GBTFate1Tlong_C,Methionine,Sample,0,0
200908_Smp_GBTFate2Tlong_A,Methionine,Sample,0,0
200908_Smp_GBTFate2Tlong_B,Methionine,Sample,0,0
200908_Smp_GBTFate2Tlong_C,Methionine,Sample,0,0
200908_Std_0uM_GBTFate1T0_A-2,Methionine,StandardCurve,0,0
200908_Std_0.5uM_GBTFate1T0_A-2,Methionine,StandardCurve,242897760,242897760
200908_Std_1.0uM_GBTFate1T0_A-2,Methionine,StandardCurve,459810400,459810400
200908_Std_2.5uM_GBTFate1T0_A-2,Methionine,StandardCurve,939516800,939516800
191001_Std_AA_AA-IS,Valine,Sample,433740448,416935854
200908_Smp_GBTFate1T0_A,Valine,Sample,39602060,22797466
200908_Smp_GBTFate1T0_B,Valine,Sample,174055712,157251118
200908_Smp_GBTFate1T0_C,Valine,Sample,41774824,24970230
200908_Smp_GBTFate2T0_A,Valine,Sample,70252568,53447974
200908_Smp_GBTFate2T0_B,Valine,Sample,54019456,37214862
200908_Smp_GBTFate2T0_C,Valine,Sample,107425080,90620486
200908_Smp_GBTFate1Tlong_A,Valine,Sample,127375232,110570638
200908_Smp_GBTFate1Tlong_B,Valine,Sample,161714368,144909774
200908_Smp_GBTFate1Tlong_C,Valine,Sample,66951560,50146966
200908_Smp_GBTFate2Tlong_A,Valine,Sample,80098680,63294086
200908_Smp_GBTFate2Tlong_B,Valine,Sample,41432184,24627590
200908_Smp_GBTFate2Tlong_C,Valine,Sample,81099056,64294462
200908_Std_0uM_GBTFate1T0_A-2,Valine,StandardCurve,30407310,13602716
200908_Std_0.5uM_GBTFate1T0_A-2,Valine,StandardCurve,321936608,305132014
200908_Std_1.0uM_GBTFate1T0_A-2,Valine,StandardCurve,590199360,573394766
200908_Std_2.5uM_GBTFate1T0_A-2,Valine,StandardCurve,1023429952,1006625358
191001_Std_AA_AA-IS,Isoleucine,Sample,453634528,439933281
200908_Smp_GBTFate1T0_A,Isoleucine,Sample,27729102,14027855
200908_Smp_GBTFate1T0_B,Isoleucine,Sample,137324400,123623153
200908_Smp_GBTFate1T0_C,Isoleucine,Sample,34410900,20709653
200908_Smp_GBTFate2T0_A,Isoleucine,Sample,56348764,42647517
200908_Smp_GBTFate2T0_B,Isoleucine,Sample,44194628,30493381
200908_Smp_GBTFate2T0_C,Isoleucine,Sample,92494984,78793737
200908_Smp_GBTFate1Tlong_A,Isoleucine,Sample,98083360,84382113
200908_Smp_GBTFate1Tlong_B,Isoleucine,Sample,134300112,120598865
200908_Smp_GBTFate1Tlong_C,Isoleucine,Sample,51211212,37509965
200908_Smp_GBTFate2Tlong_A,Isoleucine,Sample,66567040,52865793
200908_Smp_GBTFate2Tlong_B,Isoleucine,Sample,32362028,18660781
200908_Smp_GBTFate2Tlong_C,Isoleucine,Sample,66260492,52559245
200908_Std_0uM_GBTFate1T0_A-2,Isoleucine,StandardCurve,26515994,12814747
200908_Std_0.5uM_GBTFate1T0_A-2,Isoleucine,StandardCurve,336646560,322945313
200908_Std_1.0uM_GBTFate1T0_A-2,Isoleucine,StandardCurve,656643200,642941953
200908_Std_2.5uM_GBTFate1T0_A-2,Isoleucine,StandardCurve,1140119936,1126418689
191001_Std_AA_AA-IS,Leucine,Sample,465040544,439944440
200908_Smp_GBTFate1T0_A,Leucine,Sample,49266916,24170812
200908_Smp_GBTFate1T0_B,Leucine,Sample,264308288,239212184
200908_Smp_GBTFate1T0_C,Leucine,Sample,61622016,36525912
200908_Smp_GBTFate2T0_A,Leucine,Sample,93387160,68291056
200908_Smp_GBTFate2T0_B,Leucine,Sample,81306424,56210320
200908_Smp_GBTFate2T0_C,Leucine,Sample,153924816,128828712
200908_Smp_GBTFate1Tlong_A,Leucine,Sample,176272720,151176616
200908_Smp_GBTFate1Tlong_B,Leucine,Sample,237703904,212607800
200908_Smp_GBTFate1Tlong_C,Leucine,Sample,92894640,67798536
200908_Smp_GBTFate2Tlong_A,Leucine,Sample,115574096,90477992
200908_Smp_GBTFate2Tlong_B,Leucine,Sample,56380584,31284480
200908_Smp_GBTFate2Tlong_C,Leucine,Sample,115807312,90711208
200908_Std_0uM_GBTFate1T0_A-2,Leucine,StandardCurve,46238768,21142664
200908_Std_0.5uM_GBTFate1T0_A-2,Leucine,StandardCurve,383541344,358445240
200908_Std_1.0uM_GBTFate1T0_A-2,Leucine,StandardCurve,690151872,665055768
200908_Std_2.5uM_GBTFate1T0_A-2,Leucine,StandardCurve,1202838144,1177742040
191001_Std_AA_AA-IS,Phenylalaine,Sample,401438784,386220060
200908_Smp_GBTFate1T0_A,Phenylalaine,Sample,27035250,11816526
200908_Smp_GBTFate1T0_B,Phenylalaine,Sample,161724144,146505420
200908_Smp_GBTFate1T0_C,Phenylalaine,Sample,44665588,29446864
200908_Smp_GBTFate2T0_A,Phenylalaine,Sample,57701220,42482496
200908_Smp_GBTFate2T0_B,Phenylalaine,Sample,45286524,30067800
200908_Smp_GBTFate2T0_C,Phenylalaine,Sample,95105192,79886468
200908_Smp_GBTFate1Tlong_A,Phenylalaine,Sample,104404072,89185348
200908_Smp_GBTFate1Tlong_B,Phenylalaine,Sample,162358928,147140204
200908_Smp_GBTFate1Tlong_C,Phenylalaine,Sample,53560312,38341588
200908_Smp_GBTFate2Tlong_A,Phenylalaine,Sample,65907776,50689052
200908_Smp_GBTFate2Tlong_B,Phenylalaine,Sample,30218884,15000160
200908_Smp_GBTFate2Tlong_C,Phenylalaine,Sample,69539304,54320580
200908_Std_0uM_GBTFate1T0_A-2,Phenylalaine,StandardCurve,30010862,14792138
200908_Std_0.5uM_GBTFate1T0_A-2,Phenylalaine,StandardCurve,430109728,414891004
200908_Std_1.0uM_GBTFate1T0_A-2,Phenylalaine,StandardCurve,762541568,747322844
200908_Std_2.5uM_GBTFate1T0_A-2,Phenylalaine,StandardCurve,1441405824,1426187100
